se_url,stock_name,company_url,company_name,date,ticker,se
/markets/NZSX/securities/ABA,Abano Healthcare Group Limited Ordinary Shares,http://www.abanohealthcare.co.nz/,Abano Healthcare Group Limited (ABA),,ABA,NZ
/markets/NZSX/securities/BRM,Barramundi Limited Ordinary Shares,http://www.barramundi.co.nz/,Barramundi Limited (BRM),,BRM,NZ
/markets/NZSX/securities/BLT,BLIS Technologies Limited Ordinary Shares,http://www.blis.co.nz/,BLIS Technologies Limited (BLT),,BLT,NZ
/markets/NZSX/securities/BIT,The Bankers Investment Trust Plc Ordinary Units,http://www.bankersinvestmenttrust.com/,The Bankers Investment Trust Plc (BIT),,BIT,NZ
/markets/NZSX/securities/BIL,Bethunes Investments Limited Ordinary Shares,http://www.bethunesinvestments.com,Bethunes Investments Limited (BIL),,BIL,NZ
/markets/NZSX/securities/BGR,Briscoe Group Limited Ordinary Shares,http://www.briscoegroup.co.nz/,Briscoe Group Limited (BGR),,BGR,NZ
se_url,stock_name,company_url,company_name,date,ticker,se
/markets/NZSX/securities/ABA,Abano Healthcare Group Limited Ordinary Shares,http://www.abanohealthcare.co.nz/,Abano Healthcare Group Limited (ABA),,ABA,NZ
/markets/NZSX/securities/CDI,CDL Investments New Zealand Limited Ordinary Shares,http://www.cdlinvestments.co.nz/,CDL Investments New Zealand Limited (CDI),,CDI,NZ
/markets/NZSX/securities/CBL,CBL Corporation Limited Ordinary Shares,http://www.cblcorporation.co.nz,CBL Corporation Limited (CBL),,CBL,NZ
/markets/NZSX/securities/CAV,Cavalier Corporation Limited Ordinary Shares,http://www.cavcorp.co.nz/,Cavalier Corporation Limited (CAV),,CAV,NZ
/markets/NZSX/securities/BLT,BLIS Technologies Limited Ordinary Shares,http://www.blis.co.nz/,BLIS Technologies Limited (BLT),,BLT,NZ
/markets/NZSX/securities/BRM,Barramundi Limited Ordinary Shares,http://www.barramundi.co.nz/,Barramundi Limited (BRM),,BRM,NZ
/markets/NZSX/securities/BIT,The Bankers Investment Trust Plc Ordinary Units,http://www.bankersinvestmenttrust.com/,The Bankers Investment Trust Plc (BIT),,BIT,NZ
/markets/NZSX/securities/BIL,Bethunes Investments Limited Ordinary Shares,http://www.bethunesinvestments.com,Bethunes Investments Limited (BIL),,BIL,NZ
/markets/NZSX/securities/BGR,Briscoe Group Limited Ordinary Shares,http://www.briscoegroup.co.nz/,Briscoe Group Limited (BGR),,BGR,NZ
/markets/NZSX/securities/AWK,Airwork Holdings Limited Ordinary Shares,http://www.airwork.co.nz,Airwork Holdings Limited (AWK),,AWK,NZ
/markets/NZSX/securities/AWF,AWF Madison Group Limited Ordinary Shares,http://www.awfmadison.co.nz,AWF Madison Group Limited (AWF),,AWF,NZ
/markets/NZSX/securities/AUG,Augusta Capital Limited Ordinary Shares,http://www.augusta.co.nz/,Augusta Capital Limited (AUG),,AUG,NZ
/markets/NZSX/securities/ATM,The a2 Milk Company Limited Ordinary Shares,http://www.thea2milkcompany.com,The a2 Milk Company Limited (ATM),,ATM,NZ
/markets/NZSX/securities/ASR,Australian Resources Fund (NS) Units,http://www.smartshares.co.nz,Australian Resources Fund (NS) (ASR),,ASR,NZ
/markets/NZSX/securities/ASP,Australian Property Fund (NS) Units,http://www.smartshares.co.nz/,Australian Property Fund (NS) (ASP),,ASP,NZ
/markets/NZSX/securities/XRO,Xero Limited Ordinary Shares,http://www.xero.com/,Xero Limited (XRO),,XRO,NZ
/markets/NZSX/securities/ZEL,Z Energy Limited Ordinary Shares,http://z.co.nz,Z Energy Limited (ZEL),,ZEL,NZ
/markets/NZSX/securities/WYN,Wynyard Group Limited (in liquidation) Ord Shares,http://www.wynyardgroup.com,Wynyard Group Limited (in liquidation) (WYN),,WYN,NZ
/markets/NZSX/securities/WHS,The Warehouse Group Limited Ordinary Shares,http://www.thewarehouse.co.nz/,The Warehouse Group Limited (WHS),,WHS,NZ
/markets/NZSX/securities/WDT,Wellington Drive Technologies Limited Ordinary Shares,http://www.wdtl.com/,Wellington Drive Technologies Limited (WDT),,WDT,NZ
/markets/NZSX/securities/WBC,Westpac Banking Corporation Ordinary Shares,http://www.westpac.com.au/,Westpac Banking Corporation (WBC),,WBC,NZ
/markets/NZSX/securities/VIL,Veritas Investments Limited - Ordinary Shares,http://www.veritasinvestments.co.nz,Veritas Investments Limited (VIL),,VIL,NZ
/markets/NZSX/securities/VHP,Vital Healthcare Property Trust Ordinary Units,http://www.vitalhealthcareproperty.co.nz/,Vital Healthcare Property Trust (VHP),,VHP,NZ
/markets/NZSX/securities/VGL,Vista Group International Limited Ordinary Shares,http://www.vistagroup.co.nz,Vista Group International Limited (VGL),,VGL,NZ
/markets/NZSX/securities/VCT,Vector Limited Ordinary Shares,http://www.vector.co.nz/,Vector Limited (VCT),,VCT,NZ
/markets/NZSX/securities/USV,US Large Value Fund (NS) Units,http://www.smartshares.co.nz/,US Large Value Fund (NS) (USV),,USV,NZ
/markets/NZSX/securities/USS,US Small Cap Fund (NS) Units,http://www.smartshares.co.nz/,US Small Cap Fund (NS) (USS),,USS,NZ
/markets/NZSX/securities/USM,US Mid Cap Fund (NS) Units,http://www.smartshares.co.nz/,US Mid Cap Fund (NS) (USM),,USM,NZ
/markets/NZSX/securities/USG,US Large Growth Fund (NS) Units,http://www.smartshares.co.nz/,US Large Growth Fund (NS) (USG),,USG,NZ
/markets/NZSX/securities/USF,US 500 Fund (NS) Units,http://www.smartshares.co.nz/,US 500 Fund (NS) (USF),,USF,NZ
/markets/NZSX/securities/TWR,Tower Limited Ordinary Shares,http://www.tower.co.nz,Tower Limited (TWR),,TWR,NZ
/markets/NZSX/securities/TWF,Total World Fund (NS) Units,http://www.smartshares.co.nz/,Total World Fund (NS) (TWF),,TWF,NZ
/markets/NZSX/securities/TTK,TeamTalk Limited Ordinary Shares,http://www.teamtalk.co.nz/,TeamTalk Limited (TTK),,TTK,NZ
/markets/NZSX/securities/TNZ,NZ Top 10 Fund (NS) Units,http://www.smartshares.co.nz/,NZ Top 10 Fund (NS) (TNZ),,TNZ,NZ
/markets/NZSX/securities/TPW,Trustpower Limited Ordinary Shares,http://www.trustpower.co.nz,Trustpower Limited (TPW),,TPW,NZ
/markets/NZSX/securities/TNR,Turners Limited Ordinary Shares,http://www.turnerslimited.co.nz,Turners Limited (TNR),,TNR,NZ
/markets/NZSX/securities/TME,Trade Me Group Limited Ordinary Shares,http://investors.trademe.co.nz,Trade Me Group Limited (TME),,TME,NZ
/markets/NZSX/securities/TLT,Tilt Renewables Limited Ordinary Shares,http://www.tiltrenewables.com,Tilt Renewables Limited (TLT),,TLT,NZ
/markets/NZSX/securities/TLS,Telstra Corporation Limited Ordinary Shares,http://www.telstra.com/,Telstra Corporation Limited (TLS),,TLS,NZ
/markets/NZSX/securities/TIL,Trilogy International Limited Ordinary Shares,http://www.trilogyproducts.com,Trilogy International Limited (TIL),,TIL,NZ
/markets/NZSX/securities/THL,Tourism Holdings Limited Ordinary Shares,http://www.thlonline.com/,Tourism Holdings Limited (THL),,THL,NZ
/markets/NZSX/securities/TGH,Tegel Group Holdings Limited Ordinary Shares,http://www.tegel.co.nz,Tegel Group Holdings Limited (TGH),,TGH,NZ
/markets/NZSX/securities/TGG,T&G Global Limited Ordinary Shares,http://www.tandg.global,T&G Global Limited (TGG),,TGG,NZ
/markets/NZSX/securities/TEN,Tenon Limited Ordinary Shares,http://www.tenonglobal.com/,Tenon Limited (TEN),,TEN,NZ
/markets/NZSX/securities/TEM,Templeton Emerging Markets Investment Trust Plc Ord Shares,http://www.temit.co.uk/,Templeton Emerging Markets Plc (TEM),,TEM,NZ
/markets/NZSX/securities/TCL,The City of London Investment Trust Plc Ordinary Shares,http://www.cityinvestmenttrust.com/,The City of London Investment Trust Plc (TCL),,TCL,NZ
/markets/NZSX/securities/SUM,Summerset Group Holdings Limited Ordinary Shares,http://www.summerset.co.nz,Summerset Group Holdings Limited (SUM),,SUM,NZ
/markets/NZSX/securities/STU,Steel & Tube Holdings Limited Ordinary Shares,http://www.steelandtube.co.nz/,Steel & Tube Holdings Limited (STU),,STU,NZ
/markets/NZSX/securities/SRF,Senior Trust Retirement Village Listed Fund (NS) Units,http://www.seniortrust.co.nz,Senior Trust Retirement Village Listed Fund (NS) (SRF),,SRF,NZ
/markets/NZSX/securities/SPY,Smartpay Holdings Limited Ordinary Shares,http://www.smartpay.co.nz/,Smartpay Holdings Limited (SPY),,SPY,NZ
/markets/NZSX/securities/SPN,South Port New Zealand Limited (NS) Ordinary Shares,http://www.southport.co.nz/,South Port New Zealand Limited (NS) (SPN),,SPN,NZ
/markets/NZSX/securities/SPK,Spark New Zealand Limited Ordinary Shares,http://www.sparknz.co.nz,Spark New Zealand Limited (SPK),,SPK,NZ
/markets/NZSX/securities/SPG,Stride Prop & Stride Invest Mgmt Ltd Stapled Security (NS),http://www.strideproperty.co.nz,Stride Property Ltd & Stride Investment Management Ltd (NS) (SPG),,SPG,NZ
/markets/NZSX/securities/SML,Synlait Milk Limited (NS) Ordinary Shares,http://www.synlait.com,Synlait Milk Limited (NS) (SML),,SML,NZ
/markets/NZSX/securities/SLI,SLI Systems Limited Ordinary Shares,http://www.sli-systems.com,SLI Systems Limited (SLI),,SLI,NZ
/markets/NZSX/securities/SKT,Sky Network Television Limited Ordinary Shares,http://www.skytv.co.nz/,Sky Network Television Limited (SKT),,SKT,NZ
/markets/NZSX/securities/SKO,Serko Limited Ordinary Shares,http://www.serko.com,Serko Limited (SKO),,SKO,NZ
/markets/NZSX/securities/SKL,Skellerup Holdings Limited Ordinary Shares,http://www.skellerupholdings.co.nz/,Skellerup Holdings Limited (SKL),,SKL,NZ
/markets/NZSX/securities/SKC,SKYCITY Entertainment Group Limited (NS) Ordinary Shares,http://www.skycity.co.nz/,SKYCITY Entertainment Group Limited (NS) (SKC),,SKC,NZ
/markets/NZSX/securities/SEK,Seeka Limited Ordinary Shares,http://www.seeka.co.nz/,Seeka Limited (SEK),,SEK,NZ
/markets/NZSX/securities/SEA,SeaDragon Limited Ordinary Shares,http://www.seadragon.co.nz,SeaDragon Limited (SEA),,SEA,NZ
/markets/NZSX/securities/SCY,Smiths City Group Limited Ordinary Shares,http://www.smithscitygroup.co.nz/,Smiths City Group Limited (SCY),,SCY,NZ
/markets/NZSX/securities/SCT,Scott Technology Limited Ordinary Shares,http://www.scott.co.nz/,Scott Technology Limited (SCT),,SCT,NZ
/markets/NZSX/securities/SCL,Scales Corporation Limited Ordinary Shares,http://www.scalescorporation.co.nz,Scales Corporation Limited (SCL),,SCL,NZ
/markets/NZSX/securities/SAN,Sanford Limited (NS) Ordinary Shares,http://www.sanford.co.nz/,Sanford Limited (NS) (SAN),,SAN,NZ
/markets/NZSX/securities/RYM,Ryman Healthcare Limited Ordinary Shares,http://www.rymanhealthcare.co.nz/,Ryman Healthcare Limited (RYM),,RYM,NZ
/markets/NZSX/securities/RBD,Restaurant Brands NZ Limited Ordinary Shares,http://www.restaurantbrands.co.nz/,Restaurant Brands New Zealand Limited (RBD),,RBD,NZ
/markets/NZSX/securities/RBC,Rubicon Limited Ordinary Shares,http://www.rubicon-nz.com/,Rubicon Limited (RBC),,RBC,NZ
/markets/NZSX/securities/RAK,Rakon Limited Ordinary Shares,http://www.rakon.com,Rakon Limited (RAK),,RAK,NZ
/markets/NZSX/securities/PPL,Pumpkin Patch Ltd (In Receivership and in Liquidation),http://www.pumpkinpatch.biz/,Pumpkin Patch Ltd (In Receivership and in Liquidation) (PPL),,PPL,NZ
/markets/NZSX/securities/PPH,Pushpay Holdings Ltd Ordinary Shares,http://www.pushpay.com,Pushpay Holdings Limited (PPH),,PPH,NZ
/markets/NZSX/securities/POT,Port of Tauranga Ltd (NS) Ordinary Shares,http://www.port-tauranga.co.nz/,Port of Tauranga Limited (NS) (POT),,POT,NZ
/markets/NZSX/securities/PIL,Promisia Integrative Limited Ordinary Shares,http://www.promisia.com/,Promisia Integrative Limited (PIL),,PIL,NZ
/markets/NZSX/securities/PLX,Plexure Group Limited Ordinary Shares,http://www.plexure.com,Plexure Group Limited (PLX),,PLX,NZ
/markets/NZSX/securities/PGW,PGG Wrightson Limited Ordinary Shares,http://www.pggwrightson.co.nz/,PGG Wrightson Limited (PGW),,PGW,NZ
/markets/NZSX/securities/PGC,Pyne Gould Corporation Limited,http://www.pgc.co.nz/,Pyne Gould Corporation Limited (PGC),,PGC,NZ
/markets/NZSX/securities/PFI,Property For Industry Limited Ordinary Shares,http://www.pfi.co.nz/,Property for Industry Limited (PFI),,PFI,NZ
/markets/NZSX/securities/PEB,Pacific Edge Limited Ordinary Shares,http://www.pacificedge.co.nz/,Pacific Edge Limited (PEB),,PEB,NZ
/markets/NZSX/securities/PCT,Precinct Properties New Zealand Limited Ordinary Shares,http://www.precinct.co.nz,Precinct Properties New Zealand Limited (PCT),,PCT,NZ
/markets/NZSX/securities/OZY,Australian Top 20 Fund (NS) Units,http://www.smartshares.co.nz/,Australian Top 20 Fund (NS) (OZY),,OZY,NZ
/markets/NZSX/securities/OIC,Opus International Consultants Limited Ordinary Shares,http://www.opus.co.nz/,Opus International Consultants Limited (OIC),,OIC,NZ
/markets/NZSX/securities/OHE,Orion Health Group Limited Ordinary Shares,http://www.orionhealth.com,Orion Health Group Limited (OHE),,OHE,NZ
/markets/NZSX/securities/OGC,OceanaGold Corporation (NS) Ordinary Shares,http://www.oceanagold.com/,OceanaGold Corporation (NS) (OGC),,OGC,NZ
/markets/NZSX/securities/NZX,NZX Limited Ordinary Shares,http://www.nzxgroup.com/,NZX Limited (NZX),,NZX,NZ
/markets/NZSX/securities/NZR,The New Zealand Refining Company Limited Ordinary Shares,http://www.refiningnz.com/,The New Zealand Refining Company Limited (NZR),,NZR,NZ
